Job Role,Difficulty,Context Paragraph
Python Developer,Easy,A variable is a name that refers to a value stored in the memory which can change during program execution. A variable is a name for a value in memory that can change. A variable holds data that can be modified later in the program.
Python Developer,Easy,Variables are created by assigning a value using the equals sign in Python. A variable is created by using the equals sign to assign a value. We use the equals sign to set a value to a name which becomes a variable.
Python Developer,Easy,Variable names in Python must start with a letter or an underscore and can contain letters and numbers. Python variable names can start with a letter or underscore and contain letters or digits. You can use letters digits and underscores in variable names but they must not start with a digit.
Python Developer,Easy,Python variables do not need an explicit declaration or type definition before being used. No declaration is needed to use a variable in Python. A variable can be used directly without defining its type first.
Python Developer,Easy,A variable can store different types of data such as numbers text or boolean values. Variables in Python can store text numbers and boolean values. Python variables can hold various data like strings numbers and true or false values.
Python Developer,Easy,Python is a dynamically typed language so variables can change type during execution. Yes a variable in Python can hold different types at different times. A variable can change from number to string or any other type while running.
Python Developer,Easy,A variable name should be descriptive to help understand its purpose in the program. Meaningful names make the code easier to read and understand. Using descriptive names helps identify the variable role quickly.
Python Developer,Easy,The value of a variable can be updated by assigning a new value to it. Assigning a new value to the variable updates it. We can just set a new value to change the variable content.
Python Developer,Easy,The print function is used to display the value of a variable in Python. Use the print function to display the value. Printing a variable shows its current stored value on the screen.
Python Developer,Easy,Python variable names are case sensitive so myvar and Myvar are different. Yes Python treats uppercase and lowercase letters as different in variable names. Variables with same name but different cases are treated as separate.
Python Developer,Medium,A variable can be assigned the result of an expression involving other variables. Yes variables can hold results of expressions involving other variables. You can use expressions to compute values and assign them to variables.
Python Developer,Medium,Multiple variables can be assigned in a single line separated by commas. Yes we can assign multiple variables in one line using commas. Python supports assigning several variables in one line with comma separation.
Python Developer,Medium,Variables inside a function have local scope and cannot be accessed outside the function. Variables declared in a function are local to that function. You cannot use function variables outside the function they belong to.
Python Developer,Medium,Global variables can be accessed from anywhere in the program unless shadowed by a local variable. Global variables are accessible from any part of the program. They can be used inside functions unless overridden by a local one.
Python Developer,Medium,Python supports chained assignments where the same value is assigned to multiple variables. It is assigning one value to several variables at once. You can assign a single value to many variables using equals sign repeatedly.
Python Developer,Medium,The type function in Python returns the data type of a variable. Use the type function to know what type a variable holds. The type function tells us whether a variable is integer string or another type.
Python Developer,Medium,A variable declared outside all functions is known as a global variable. A global variable is defined outside all functions and used anywhere. It is a variable that is accessible from every part of the program.
Python Developer,Medium,Variables can be deleted using the del keyword to free memory. Use the del keyword followed by the variable name. The del statement removes the variable from memory.
Python Developer,Medium,Python variables can be reassigned to new values without error. Yes variables can be assigned new values anytime. You can change the value of a variable during program execution.
Python Developer,Medium,Variables can hold complex data types like lists dictionaries and functions. They can hold simple and complex types including lists and functions. Python allows variables to store many types such as collections or callable items.
Python Developer,Hard,Python supports unpacking of sequences into multiple variables using tuple or list unpacking. It means assigning elements of a sequence to individual variables. Sequence unpacking lets us assign multiple values in one line using a sequence.
Python Developer,Hard,Variables in loops can be reused after the loop ends unless declared inside a function. Yes loop variables exist after loop unless in a local function. Loop variables remain unless restricted by function scope.
Python Developer,Hard,Variables defined in nested functions can access variables from their enclosing functions using closures. Yes they can access variables from their parent function. Enclosed functions can refer to variables in the outer function scope.
Python Developer,Hard,Global keyword allows modifying a global variable inside a function. It lets a function modify a variable outside its scope. The keyword global gives write access to external variables inside functions.
Python Developer,Hard,The nonlocal keyword allows modifying a variable from the nearest enclosing scope that is not global. It allows changes to a variable in the nearest non global outer scope. Nonlocal lets inner functions change variables from their enclosing functions.
Python Developer,Hard,Variables can reference mutable types which may change even if the variable is not reassigned. Yes mutable objects can change contents without reassigning the variable. The variable still refers to the same object even if its content changes.
Python Developer,Hard,Python variables use references to objects rather than storing values directly. Variables in Python store references to data not the data itself. They hold the memory address of the object they refer to.
Python Developer,Hard,Shadowing occurs when a local variable has the same name as a global one hiding the global variable. It is when a local variable hides a global variable with the same name. Shadowing makes the global variable inaccessible in that scope.
Python Developer,Hard,In Python variable scope is determined by where the variable is assigned not just used. It depends on the location where the variable is first assigned. Assignment location defines whether a variable is local or global.
Python Developer,Hard,Python garbage collector frees memory by deleting variables no longer referenced. It deletes variables that are no longer needed to free memory. Python automatically reclaims memory when variables are no longer in use.
Python Developer,Easy,A data type in Python defines the kind of value a variable can hold such as numbers or text. A data type tells what kind of value a variable stores. A data type identifies the nature of the data stored in a variable.
Python Developer,Easy,Python has built in data types like int float str and bool used to store different values. Common types include int float str and bool for different data. Python supports int for numbers str for text and bool for true false values.
Python Developer,Easy,An integer is a whole number without decimal places like ten or one hundred. An integer is a number with no decimal point. It is a whole number used to represent counts or positions.
Python Developer,Easy,A float is a number with a decimal point used for precise values. A float represents numbers with decimal points. It stores numbers with fractions like three point one four.
Python Developer,Easy,A string stores a sequence of characters such as words or sentences. A string is used to hold characters or text. It stores letters words or any sequence of characters.
Python Developer,Easy,Boolean is a data type with only two values true or false used in logic operations. A boolean represents truth values true or false. It is used to store yes or no type conditions.
Python Developer,Easy,Python automatically detects the data type of a value during assignment. It checks the value and assigns a type automatically. Python uses the value to determine the type without manual definition.
Python Developer,Easy,A variable can store different types at different times in Python. Yes a variable can hold different types during program execution. Python allows reassignment with different data types.
Python Developer,Easy,The type function can be used to check the data type of any value. Use type to get the data type of a value. The type function shows if a value is int float or other type.
Python Developer,Easy,Data types help Python decide how to use the stored value in expressions and operations. They guide how data is handled in calculations and logic. Data types define how Python interprets and processes a value.
Python Developer,Medium,A list is an ordered collection of values that can store different data types. A list holds multiple items in a specific order. Lists can store various types of values together in one variable.
Python Developer,Medium,A tuple is similar to a list but cannot be changed after creation. A tuple is an immutable collection of items. Tuples store fixed groups of values that cannot be altered.
Python Developer,Medium,A dictionary stores key value pairs where each key points to a specific value. A dictionary maps keys to corresponding values. It is a collection where each key is linked to a value.
Python Developer,Medium,Python supports type conversion functions like int float and str to change value types. Use functions like int str or float to convert values. Python provides type conversion to switch between different formats.
Python Developer,Medium,A set is a collection of unique elements without any order or duplicates. A set is a group of distinct values without order. It stores unique items with no repetitions allowed.
Python Developer,Medium,The isinstance function checks if a value belongs to a specific data type. Use isinstance to confirm the data type. It checks whether a value is of a certain type.
Python Developer,Medium,Bytes is a data type used to store binary data which is useful for files and streams. Bytes holds raw binary values for efficient storage. It is used to work with binary or encoded data.
Python Developer,Medium,Frozenset is an immutable version of a set where elements cannot be changed after creation. A frozenset is a fixed collection of unique items. It stores elements like a set but cannot be modified.
Python Developer,Medium,Data types can be grouped into numeric sequence mapping and boolean categories. They are grouped by purpose like numbers sequences and mappings. Python classifies types based on their roles in data handling.
Python Developer,Medium,Complex is a numeric type in Python with a real and imaginary part. A complex number contains a real and imaginary part. It is used in scientific calculations involving imaginary values.
Python Developer,Hard,Custom data types can be created using classes in Python. Define a class to make a new data type. Classes let you build custom types with specific properties.
Python Developer,Hard,Mutable data types can be changed after creation while immutable ones cannot. Mutable types can change while immutable ones stay fixed. Lists are mutable but tuples are immutable examples.
Python Developer,Hard,Variables pointing to mutable data can be affected by changes to the original data. Changes to one variable can affect others referencing the same object. Mutable data can be shared and changed across multiple variables.
Python Developer,Hard,Python supports abstract data types like stacks and queues using collections module. They are logical models like stacks implemented with collections. Abstract types represent common structures built on top of existing types.
Python Developer,Hard,User defined objects can override default behavior of data types using special methods. Use special methods like init or str in classes. Special functions in classes help control how data behaves.
Python Developer,Hard,Type hints help indicate expected data types but are not enforced at runtime. They show expected types for variables and functions. Type hints guide code clarity without enforcing rules.
Python Developer,Hard,Union types allow a variable to accept multiple possible data types. It means a variable can be one of several types. Union types define flexible values with multiple type options.
